threshold,precision,recall,f1,accuracy
0.0,0.335,1.0,0.50187265917603,0.335
0.05555555555555555,0.3701657458563536,1.0,0.5403225806451613,0.43
0.1111111111111111,0.41358024691358025,1.0,0.5851528384279476,0.525
0.16666666666666666,0.43506493506493504,1.0,0.6063348416289593,0.565
0.2222222222222222,0.4855072463768116,1.0,0.6536585365853659,0.645
0.2777777777777778,0.5234375,1.0,0.6871794871794872,0.695
0.3333333333333333,0.5391304347826087,0.9253731343283582,0.6813186813186813,0.71
0.38888888888888884,0.5596330275229358,0.9104477611940298,0.6931818181818181,0.73
0.4444444444444444,0.5876288659793815,0.8507462686567164,0.6951219512195121,0.75
0.5,0.6470588235294118,0.8208955223880597,0.7236842105263159,0.79
0.5555555555555556,0.6666666666666666,0.7164179104477612,0.6906474820143884,0.785
0.611111111111111,0.6984126984126984,0.6567164179104478,0.676923076923077,0.79
0.6666666666666666,0.75,0.582089552238806,0.6554621848739495,0.795
0.7222222222222222,0.7708333333333334,0.5522388059701493,0.6434782608695653,0.795
0.7777777777777777,0.8,0.47761194029850745,0.5981308411214953,0.785
0.8333333333333333,0.76,0.2835820895522388,0.41304347826086957,0.73
0.8888888888888888,0.625,0.07462686567164178,0.13333333333333333,0.675
0.9444444444444444,1.0,0.014925373134328358,0.029411764705882353,0.67
1.0,0.0,0.0,0.0,0.665
