threshold,precision,recall,f1,accuracy
0.0,0.335,1.0,0.50187265917603,0.335
0.05555555555555555,0.42948717948717946,1.0,0.600896860986547,0.555
0.1111111111111111,0.48148148148148145,0.9701492537313433,0.6435643564356435,0.64
0.16666666666666666,0.5357142857142857,0.8955223880597015,0.6703910614525139,0.705
0.2222222222222222,0.5714285714285714,0.835820895522388,0.6787878787878787,0.735
0.2777777777777778,0.6111111111111112,0.8208955223880597,0.7006369426751594,0.765
0.3333333333333333,0.6538461538461539,0.7611940298507462,0.7034482758620689,0.785
0.38888888888888884,0.6666666666666666,0.6865671641791045,0.676470588235294,0.78
0.4444444444444444,0.6885245901639344,0.6268656716417911,0.6562500000000001,0.78
0.5,0.813953488372093,0.5223880597014925,0.6363636363636362,0.8
0.5555555555555556,0.8421052631578947,0.47761194029850745,0.6095238095238095,0.795
0.611111111111111,0.8333333333333334,0.373134328358209,0.5154639175257731,0.765
0.6666666666666666,0.8636363636363636,0.2835820895522388,0.42696629213483145,0.745
0.7222222222222222,0.9,0.26865671641791045,0.41379310344827586,0.745
0.7777777777777777,0.9230769230769231,0.1791044776119403,0.3,0.72
0.8333333333333333,0.9090909090909091,0.14925373134328357,0.2564102564102564,0.71
0.8888888888888888,1.0,0.1044776119402985,0.18918918918918917,0.7
0.9444444444444444,1.0,0.014925373134328358,0.029411764705882353,0.67
1.0,0.0,0.0,0.0,0.665
