threshold,precision,recall,f1,accuracy
0.0,0.335,1.0,0.50187265917603,0.335
0.05555555555555555,0.335,1.0,0.50187265917603,0.335
0.1111111111111111,0.3701657458563536,1.0,0.5403225806451613,0.43
0.16666666666666666,0.39644970414201186,1.0,0.5677966101694916,0.49
0.2222222222222222,0.41875,1.0,0.5903083700440529,0.535
0.2777777777777778,0.49606299212598426,0.9402985074626866,0.6494845360824743,0.66
0.3333333333333333,0.6329113924050633,0.746268656716418,0.684931506849315,0.77
0.38888888888888884,0.7352941176470589,0.373134328358209,0.4950495049504951,0.745
0.4444444444444444,0.75,0.13432835820895522,0.2278481012658228,0.695
0.5,1.0,0.029850746268656716,0.05797101449275362,0.675
0.5555555555555556,0.0,0.0,0.0,0.665
0.611111111111111,0.0,0.0,0.0,0.665
0.6666666666666666,0.0,0.0,0.0,0.665
0.7222222222222222,0.0,0.0,0.0,0.665
0.7777777777777777,0.0,0.0,0.0,0.665
0.8333333333333333,0.0,0.0,0.0,0.665
0.8888888888888888,0.0,0.0,0.0,0.665
0.9444444444444444,0.0,0.0,0.0,0.665
1.0,0.0,0.0,0.0,0.665
